PrId,DB,UID,url,IconUrl,UrlName,SubjectType,Attribute
00000,PubMed,10102273,https://mtor-atlas.org/study/BRU1999/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,17053147,https://mtor-atlas.org/study/DOR2006/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,24245565,https://mtor-atlas.org/study/HAR2014/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,29997249,https://mtor-atlas.org/study/MAN2018/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,42677553,https://mtor-atlas.org/study/SANG2026/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,31937935,https://mtor-atlas.org/study/LIU2020/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,15268862,https://mtor-atlas.org/study/SAR2004/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,26147250,https://mtor-atlas.org/study/LAB2015/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,22576015,https://mtor-atlas.org/study/MAR2012/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,42639474,https://mtor-atlas.org/study/KNO2026/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,25457612,https://mtor-atlas.org/study/PAR2014/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,30602761,https://mtor-atlas.org/study/KIM2019/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,42463581,https://mtor-atlas.org/study/LV2026/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,32694720,https://mtor-atlas.org/study/VAL2019/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,16919458,https://mtor-atlas.org/study/FRI2006/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,17043309,https://mtor-atlas.org/study/YAN2006/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,17613433,https://mtor-atlas.org/study/GUE2007/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,23429703,https://mtor-atlas.org/study/BEN2013/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,35580586,https://mtor-atlas.org/study/BAT2022/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,20074526,https://mtor-atlas.org/study/BJE2010/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,32612235,https://mtor-atlas.org/study/NAP2020/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,20178983,https://mtor-atlas.org/study/CAC2010/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,23312829,https://mtor-atlas.org/study/BIS2013/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,42599806,https://mtor-atlas.org/study/DEMMINGS2026/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,30425336,https://mtor-atlas.org/study/MOS2018/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,24385483,https://mtor-atlas.org/study/BETZ2013/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,12150926,https://mtor-atlas.org/study/HARA2002/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,23812589,https://mtor-atlas.org/study/ZEN2013/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
